MD,INC,AZIM,Course Length
0,0,0,Invalid
1043,0.44,53.75,1043
1087,0.36,349.62,44
1127,0.28,342.98,40
1208,0,4.62,81
1248,0.07,181.29,40
1329,0.3,303.9,81
1409,0.29,335.1,80
1490,0.47,334.69,81
1571,0.26,330.34,81
1651,0.44,309.95,80
1732,0.18,327.53,81
1812,0.48,356.75,80
1905,0.18,26.15,93
1991,0.05,149.07,86
2072,0.19,280.95,81
2159,0.09,290.88,87
2245,0.34,284.79,86
2332,0.18,302.13,87
2419,0.23,299.36,87
2547,0.47,7.58,128
2680,0.21,58.82,133
2807,0.11,105.98,127
2940,0.2,36.92,133
3066,0.21,32.72,126
3199,0.22,54.66,133
3320,0.24,281.64,121
3441,0.15,3.2,121
3562,0.24,323.69,121
